row_id,gmaps_dist,gmaps_duration
174,4191.0,740.0
175,4551.0,784.0
176,5080.0,868.0
177,5731.0,1076.0
178,2059.0,584.0
179,1508.0,431.0
180,1603.0,443.0
181,23177.0,1540.0
182,3722.0,982.0
183,21047.0,1550.0
184,1192.0,275.0
185,802.0,143.0
186,1748.0,445.0
187,3446.0,898.0
188,2428.0,590.0
189,27499.0,1823.0
190,2221.0,495.0
191,1755.0,399.0
192,2539.0,511.0
193,7413.0,1422.0
194,1352.0,442.0
195,2064.0,653.0
196,3430.0,718.0
197,2728.0,661.0
199,2651.0,622.0
200,1574.0,433.0
201,1649.0,453.0
202,1579.0,474.0
203,3612.0,893.0
204,1759.0,397.0
205,2808.0,729.0
206,6893.0,939.0
207,2395.0,774.0
208,10414.0,1407.0
209,4123.0,771.0
210,2423.0,533.0
211,1573.0,458.0
212,3220.0,608.0
213,4142.0,962.0
214,1650.0,564.0
215,2938.0,644.0
216,2641.0,591.0
218,29578.0,2408.0
219,1154.0,277.0
220,4349.0,845.0
221,3286.0,924.0
222,316.0,113.0
223,3813.0,885.0
224,1611.0,407.0
225,906.0,320.0
226,2553.0,567.0
227,11303.0,1613.0
228,1588.0,415.0
229,2845.0,719.0
230,8893.0,1101.0
231,1448.0,391.0
232,3269.0,918.0
233,8465.0,1259.0
234,2588.0,580.0
235,2890.0,430.0
236,2191.0,663.0
237,1625.0,397.0
238,1207.0,310.0
239,5030.0,420.0
240,2385.0,527.0
241,1560.0,406.0
242,28398.0,2158.0
243,2481.0,598.0
244,1232.0,317.0
245,2044.0,426.0
247,690.0,198.0
248,2584.0,670.0
249,1029.0,342.0
250,14200.0,1723.0
251,22306.0,1529.0
252,2326.0,794.0
253,30713.0,2607.0
254,2029.0,427.0
255,11603.0,1479.0
256,10487.0,968.0
257,3330.0,673.0
258,1433.0,411.0
260,814.0,173.0
261,9211.0,1202.0
262,1976.0,603.0
263,6417.0,1006.0
264,21208.0,946.0
265,12879.0,1523.0
266,1965.0,460.0
267,12719.0,1546.0
268,1327.0,328.0
269,3096.0,807.0
270,2355.0,554.0
271,8168.0,904.0
272,1944.0,412.0
273,1355.0,286.0
274,1485.0,442.0
275,3998.0,1085.0
276,1742.0,420.0
277,5998.0,1035.0
278,2815.0,710.0
279,3920.0,924.0
280,1805.0,326.0
281,1399.0,326.0
282,2182.0,613.0
283,3859.0,783.0
284,6850.0,1129.0
285,1105.0,284.0
286,2474.0,756.0
287,2185.0,700.0
288,1919.0,421.0
289,1923.0,506.0
290,2167.0,516.0
291,4805.0,726.0
292,954.0,314.0
293,1131.0,328.0
294,5742.0,1419.0
295,2758.0,779.0
296,3382.0,506.0
297,1188.0,253.0
298,7090.0,1226.0
299,25483.0,1869.0
300,3824.0,988.0
301,3526.0,748.0
302,2645.0,619.0
303,3825.0,640.0
304,6295.0,1543.0
305,2786.0,784.0
306,629.0,218.0
307,2822.0,552.0
308,4164.0,895.0
309,9967.0,1058.0
310,4066.0,850.0
311,5045.0,1042.0
312,8611.0,1756.0
313,8857.0,1569.0
314,1480.0,587.0
315,4291.0,869.0
316,12351.0,867.0
317,23288.0,1667.0
318,4188.0,1030.0
319,2337.0,541.0
320,3436.0,866.0
321,2879.0,744.0
322,3836.0,919.0
323,1794.0,531.0
324,507.0,171.0
325,1038.0,327.0
326,3579.0,844.0
327,2458.0,409.0
328,6134.0,945.0
329,16364.0,1885.0
330,1886.0,541.0
331,5961.0,709.0
332,783.0,216.0
334,1327.0,485.0
335,2085.0,601.0
336,4677.0,685.0
337,3070.0,937.0
338,10314.0,1521.0
339,2274.0,724.0
340,3079.0,919.0
341,684.0,232.0
342,2196.0,466.0
343,3152.0,777.0
344,1237.0,411.0
345,5425.0,1148.0
346,3684.0,945.0
347,4852.0,1213.0
348,5194.0,687.0
349,947.0,285.0
350,4184.0,710.0
351,1264.0,311.0
352,912.0,319.0
353,2094.0,591.0
354,2043.0,568.0
355,1234.0,309.0
356,2813.0,545.0
357,5973.0,1174.0
358,14232.0,1444.0
359,17034.0,1870.0
360,1344.0,353.0
361,2630.0,617.0
362,7929.0,1320.0
363,14981.0,1543.0
364,4372.0,968.0
365,1179.0,398.0
366,3582.0,635.0
367,7620.0,1286.0
368,2002.0,580.0
369,1548.0,561.0
370,3972.0,871.0
371,2083.0,474.0
373,1237.0,268.0
374,10377.0,1087.0
375,931.0,275.0
376,2625.0,628.0
377,3328.0,849.0
378,1786.0,489.0
379,2270.0,563.0
380,1861.0,640.0
381,1796.0,635.0
382,29539.0,2472.0
383,2507.0,617.0
384,3848.0,846.0
385,2234.0,581.0
386,1505.0,403.0
387,2923.0,751.0
388,3356.0,894.0
389,9290.0,1242.0
390,2328.0,476.0
391,1488.0,409.0
392,1349.0,406.0
393,1563.0,602.0
394,6496.0,1508.0
395,1039.0,197.0
396,2118.0,526.0
397,3135.0,835.0
398,2494.0,774.0
399,8469.0,1376.0
400,1861.0,375.0
401,4193.0,1139.0
402,2461.0,602.0
403,2533.0,699.0
404,1257.0,318.0
405,4881.0,840.0
406,3170.0,881.0
407,1329.0,351.0
408,1723.0,345.0
409,3179.0,605.0
410,3542.0,843.0
411,1428.0,282.0
412,1115.0,237.0
413,977.0,243.0
414,15873.0,1870.0
415,2659.0,721.0
416,5398.0,957.0
417,13704.0,961.0
418,5270.0,1156.0
419,2844.0,718.0
420,2950.0,812.0
421,16081.0,766.0
422,2918.0,740.0
423,2753.0,813.0
424,30022.0,2614.0
425,12548.0,1629.0
426,2778.0,699.0
427,2587.0,588.0
428,4339.0,1017.0
429,4374.0,933.0
430,5548.0,413.0
431,5124.0,801.0
432,1914.0,389.0
433,3607.0,836.0
434,3036.0,580.0
435,23104.0,1429.0
436,2571.0,599.0
437,1477.0,376.0
438,18673.0,2274.0
439,1422.0,527.0
440,2776.0,570.0
442,1329.0,446.0
443,2527.0,687.0
444,2587.0,653.0
445,2050.0,553.0
446,516.0,158.0
447,2081.0,514.0
448,1307.0,274.0
449,4289.0,949.0
450,3490.0,926.0
451,1236.0,387.0
452,5386.0,1101.0
453,10035.0,1294.0
454,23534.0,1564.0
455,14535.0,1196.0
456,1015.0,257.0
457,607.0,220.0
458,3933.0,710.0
459,1897.0,473.0
460,6896.0,1090.0
461,6271.0,1362.0
462,4709.0,571.0
463,7943.0,610.0
464,6282.0,1159.0
465,3602.0,711.0
466,3893.0,973.0
467,4417.0,1178.0
468,7882.0,1126.0
469,908.0,234.0
470,22831.0,1360.0
471,4219.0,747.0
472,3387.0,793.0
473,1757.0,464.0
474,4018.0,869.0
475,1106.0,356.0
476,1274.0,396.0
477,1416.0,420.0
478,2183.0,425.0
479,1362.0,354.0
480,4346.0,805.0
481,924.0,243.0
482,5546.0,1374.0
483,1974.0,483.0
484,3805.0,731.0
485,2172.0,533.0
486,1675.0,291.0
487,2355.0,617.0
488,918.0,293.0
489,1910.0,486.0
490,18282.0,2583.0
491,3395.0,379.0
492,978.0,258.0
493,1737.0,250.0
494,1279.0,362.0
495,5089.0,987.0
496,1965.0,554.0
497,10051.0,1477.0
498,15037.0,1386.0
499,7097.0,979.0
